"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n"
"4498",4498,0,1.99931897459497,3.00069084057098,3.9999986700399,1.99932377102814,3.0006957992067,4.00000462113662,2.73579439177674,2.18026329157929,4.02185797997284,1.99982821567169,3.00016679888432,4.0000047455258,-2.25123244553953,4.47627642343451,0.46556518333489,10000
"4499",4499,0,2.00008512446569,2.99967321767633,4.00006209956266,2.00008493882461,2.99967303755999,4.00006112028868,2.99905504560207,1.92074913047742,4.0220992313638,2.0002960896807,2.99953520136995,4.0000394283442,-2.08318678303579,4.24041413115317,0.530133274287921,10000
"4500",4500,0,2.00073133465784,2.9991311766496,4.00004205909647,2.00072950706982,2.99912929667862,4.00003392001635,3.18612601661675,1.70255079875204,4.03195696357274,2.0007064207752,2.9992233278612,4.00001590796133,-2.03123113298574,4.17378792170017,0.516944111096803,10000
"4501",4501,0,1.99911753263199,3.00060412864567,4.00009164213659,1.99911802625707,3.00060461572278,4.00009531443811,3.09525679388493,1.83060280624801,4.0223234796084,1.99901433867519,3.0007389164666,4.00008412145447,-2.20819094028742,4.42826491467455,0.547991037498872,10000
"4502",4502,0,2.00102051943058,2.9988770411314,4.00002340596951,2.00102218026222,2.99887868830558,4.00002823425875,3.44408509776041,1.44514001597759,4.03080853523502,2.00085667618084,2.99898565048547,4.00004305459406,-2.38683175367666,4.60347197884141,0.412928484608127,10000
"4503",4503,0,1.99936000609569,3.00078234446552,3.99996415569708,1.99935845770841,3.00078079881918,3.99995706516556,3.05022962092432,1.84345576301935,4.02921693520318,1.99939972874817,3.00077430005906,3.99995016014335,-2.41741150056924,4.63193043875783,0.367320634604572,10000
"4504",4504,0,1.99981907946479,3.00026370836106,3.99997299070421,1.99993821723504,3.00022599577276,3.99994267609196,2.15473774400847,2.78058115845429,4.01395367978476,1.99985370206311,3.00027012188865,3.99995811003177,-2.1815980233695,4.39866501750525,0.478341939754401,10000
"4505",4505,0,2.00017166805443,2.99983038902525,4.00000127433625,2.00017329043695,2.9998319856249,4.00000534094994,2.8415975336355,2.10506674169757,4.01456452081666,1.99964037665536,3.00034069899154,4.00001006206658,-2.2125044473021,4.41806154044057,0.501546422173765,10000
"4506",4506,0,2.00069500598181,2.99925053668213,4.00001398377841,2.00069339953994,2.99924884732384,4.00000943886866,2.47940786854992,2.43409210126742,4.0240270403896,1.99991182309519,3.00008879304652,3.99999484271518,-2.19116171159225,4.36724582543361,0.493292031494269,10000
"4507",4507,0,1.99852497467547,3.00155617899293,3.99998161608657,1.99850844765758,3.00154256403624,3.99998489080438,2.6231474148989,2.34252547679095,4.00724562148961,1.99998067355664,3.00002508706102,3.99999761501307,-2.13533028374159,4.27033096976523,0.483020191402005,10000
"4508",4508,0,1.99975135292258,3.00024560491492,3.99999880196292,1.99975135292258,3.00024560491492,3.99999880196292,3.21358962119563,1.74333684110254,4.00988521241947,2.00034826741346,2.99964647936434,3.99999910518249,-2.15469458818826,4.34241767590769,0.559257499326519,10000
"4509",4509,0,1.99957049761057,3.00014698981696,4.00009281732103,1.9995825432001,3.00015904089438,4.00009254049431,3.73384037685675,1.18466057911997,4.02204179912198,1.9997849474477,3.00013188796661,4.00002813764703,-2.41322928795824,4.65505418987044,0.390732450524367,10000
"4510",4510,0,2.00077354638163,2.99969318323265,3.9998603801066,2.00077354638163,2.99969318323265,3.9998603801066,2.404442914952,2.56684991347552,4.00761936139946,2.00078510503892,2.99949000727029,3.99992707249136,-2.23111748965907,4.51091211760631,0.418891861885307,10000
"4511",4511,0,1.99829066973302,3.00180652807576,3.99996040925177,1.99829408173484,3.00181012390581,3.99996611375885,3.93994010932984,0.985499218866463,4.02104224853865,1.99962136011864,3.00034450359147,4.00000387039833,-2.11514099182561,4.27483261324806,0.575739006856099,10000
"4512",4512,0,1.99987156283977,3.00014429281438,3.99998811490293,1.99989037762026,3.00015339305473,3.99997942946054,2.24699051603515,2.65721462234725,4.02661609213357,1.9995101882415,3.00049539951064,3.99999173391199,-2.1885192164982,4.42470728187225,0.520541398961052,10000
"4513",4513,0,2.00076460353416,2.99911734269295,4.00005631651369,2.00076271039906,2.99911543871417,4.00004823580238,3.2038055092119,1.69915263886855,4.02690412129233,2.00069653430432,2.99925197050341,4.00002992265291,-2.16785127158928,4.32848345007613,0.494289258850662,10000
"4514",4514,0,1.9996278642486,3.00032794639519,4.00003448112495,1.99897747117074,3.00124826422147,3.99994024370512,3.30992256953069,1.58582174644618,4.03397823432675,1.99949564660678,3.00058672138804,3.99999021743918,-2.2640514181387,4.41287252709411,0.499946848143916,10000
"4515",4515,0,2.00058016442494,2.99956080462495,3.99996160770811,2.00057997595455,2.99956059191325,3.99996334783264,2.49944605233177,2.43495294426745,4.01636368345149,2.00051298402939,2.99961230558939,3.99996659772436,-2.25925270716588,4.5317963838008,0.515343786159781,10000
"4516",4516,0,2.00139050572376,2.9987069046745,3.99996400441518,2.00139108506201,2.99870747740564,3.99996588773155,2.73974329492917,2.14583761093352,4.02957499337392,2.0013421300176,2.9987432226102,3.99996872522776,-2.24105363468893,4.41699797986055,0.483371383308427,10000
"4517",4517,0,2.00085673187269,2.999281032117,3.99997272517735,2.0008567491742,2.99928104871784,3.99997276785218,3.25985314603445,1.65520719063709,4.01650118467864,2.00033462445376,2.99975306877883,3.99998250584953,-2.11228634432299,4.33867120355859,0.550087362335989,10000
"4518",4518,0,1.99951243107068,3.00059826101373,3.99996828991739,1.99950515802306,3.00059170509052,3.99996671940322,3.32624518795497,1.52683164971372,4.03951685126007,1.99975393449117,3.00033236117671,3.9999741775094,-2.17614863935217,4.38468403299061,0.482185674090366,10000
"4519",4519,0,1.9998649913509,2.9999635312682,4.00006212673489,1.99986199573332,2.99996049864354,4.00005373390838,2.14850275079723,2.67528618931801,4.03890082534553,1.99987711966188,3.00007869080979,4.00002044191634,-2.31217767792187,4.51515301318681,0.436502298608034,10000
"4520",4520,0,1.99950472359918,3.00037034174467,4.00002574960774,1.99948905369139,3.00035462742494,4.00003406145612,3.49890867466267,1.3941021103285,4.02471603780626,1.99949667782037,3.00038065018379,4.00002629704451,-2.13454657274097,4.31777144276296,0.48062257795257,10000
"4521",4521,0,2.00048749603447,2.99960752067334,3.99996817592896,2.00048749603447,2.99960752067334,3.99996817592896,2.88025682461194,2.00980290858719,4.02979704932799,2.00044171995769,2.99965618394685,3.99996688084963,-2.02348814465079,4.20427106855409,0.46347457750949,10000
"4522",4522,0,2.00008898216391,2.99991835595044,3.99999595023603,2.00008898216391,2.99991835595044,3.99999595023603,4.35883099763972,0.529329849241928,4.02955750020014,1.99990235896062,3.0000034213328,4.00002473474605,-2.15026094947435,4.3375258639942,0.518998002015698,10000
"4523",4523,0,2.00158361782718,2.99841067441454,4.00000305997022,2.00158297159471,2.99840988187372,3.99999938971157,3.49711701162443,1.38794044567816,4.02739047689628,2.00120656813803,2.99882150797422,3.99999203476301,-2.136914641493,4.3765150580659,0.481893447540352,10000
"4524",4524,0,1.99976257061908,3.00008685389286,4.00004811773252,1.99976454162475,3.00008886110828,4.00005338347361,4.18395112020192,0.698994570265888,4.03040378594422,1.99999473041596,2.99983045457777,4.00005818915275,-2.09502478227978,4.37512291849712,0.603274822811878,10000
"4525",4525,0,1.99955536297176,3.00032493852772,4.00003174936889,1.99957888764992,3.00034979375101,4.00002369435339,4.39754530270797,0.540886510192048,4.01755151639212,2.00044249452282,2.99950323474228,4.00001403891366,-2.22063020845618,4.40354417232396,0.59610335477198,10000
"4526",4526,0,2.00150882196835,2.99853730648939,3.99999675624054,2.00150056353175,2.99852831542483,4.00000001548003,3.42884595169997,1.49856602238962,4.02065077965358,2.00109291043086,2.99898134206245,3.99998759501973,-2.13904760303076,4.24949977911537,0.497902114570669,10000
"4527",4527,0,2.00099481666096,2.99865992439589,4.00010016829374,2.00099875531726,2.99866418652303,4.00011593589354,2.73405119757603,2.1980715121366,4.0163855796675,2.00127738761069,2.99856914752188,4.000046766698,-2.29205025465644,4.4167019541215,0.437246994815612,10000
"4528",4528,0,2.00011856611132,2.99987537636861,3.9999927173339,2.00006218822059,2.9998229816831,4.00003040548899,3.08624094136161,1.83037942513485,4.02507042630041,2.00048394612676,2.9994470658713,4.00001447680387,-2.25677420349588,4.47647059193682,0.448017270533702,10000
"4529",4529,0,1.99961200568534,3.00054046562496,3.99994397934536,2.00079857987313,2.99928597121825,3.99996302235607,4.66667208219251,0.238434051694323,4.0295788070422,2.00004990828324,3.0000582557096,3.99995752772712,-2.17934626986062,4.31398903313296,0.657617877686793,10000
"4530",4530,0,2.00266053728065,2.9974528655371,3.99997345970127,2.00268134580498,2.99747330858751,3.9999670266824,2.7672076163315,2.16498527704414,4.01869486670249,2.0015366026023,2.9987245024784,3.99992662334098,-2.2161317999389,4.34611464656983,0.669981345077727,10000
"4531",4531,0,2.00055272405096,2.99943088995358,3.99999437880989,2.00056466831486,2.9994427058988,3.99999592667547,4.28102693605251,0.650825564832454,4.01997245869789,2.00015984388724,2.99999786419639,3.99994376251216,-2.25357868688587,4.3695067919809,0.517706215562484,10000
"4532",4532,0,2.00038102700643,2.99978850755809,3.99994185371436,2.00038007060272,2.99978757644543,3.99993677167397,4.46124936726831,0.427415081471482,4.03403067238781,2.00062703811128,2.99956300741374,3.99993244219598,-2.14065765220351,4.29911449586837,0.577657120246189,10000
"4533",4533,0,1.99895376002952,3.00098493027966,4.00001019001604,1.99895344407238,3.00098461459398,4.0000084661937,3.77217920942924,1.11840330692135,4.02747591108839,1.99898654307788,3.00099082370356,3.99999923657701,-2.1646832106766,4.35184045850037,0.477360583856389,10000
"4534",4534,0,2.00017247881178,2.99990097247001,3.99997634067848,2.00017638395862,2.99990484614933,3.99998795849093,2.49122261851357,2.44672562691493,4.01797988653925,1.99969648570153,3.00032273296847,3.99999982064529,-2.21765780326636,4.45883539134703,0.589560343512753,10000
"4535",4535,0,1.99974726495693,3.00009666181306,4.00005231106806,1.99976914991766,3.00011931757209,4.00003469562461,2.12958871252585,2.76441861978225,4.0307860593764,1.99985327325965,2.99999673130385,4.00004868475178,-2.16618388824918,4.32848208445623,0.574505065582979,10000
