"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n","q"
"3733",3733,0,1.99462242918234,3.00484403944189,4.00023295374878,1.99550425277409,3.00403969713773,4.00020697590489,3.65073997709004,1.06983247807501,4.09374175908302,1.99489674789953,3.00457788555879,4.00023134487926,-1.86127574818468,4.04579278485232,0.442705694243981,1000,0.75
"3734",3734,0,1.99892049721551,3.00031381196212,4.00028731882975,1.99914826799872,3.00020287913986,4.00021499492895,3.8685764267209,3.31064878480638,3.09936623576309,1.99898448200542,3.00027441368982,4.00026580143723,-1.98160076943727,4.15385215657561,0.309687353294743,1000,0.75
"3735",3735,0,1.99300978826749,3.00761109989182,3.99977972216895,1.99131397072411,3.00866492311201,4.00003808875407,2.08681799837848,2.88539153619507,4.01032057337214,1.99224017660214,3.00812669449347,3.99988272139821,-2.06759820054532,4.46593312071094,0.787282895692885,1000,0.75
"3736",3736,0,2.00057391460711,2.99999507515506,3.99979818340114,1.99461697613332,3.00561031619785,3.99991511664896,4.70571265421365,0.207709798603023,4.02881768303383,1.99789735797038,3.00249372289139,3.99985911501702,-2.14340793269552,4.37751614340171,0.594154695637173,1000,0.75
"3737",3737,0,2.00243919614609,2.99706773514115,4.00020106964679,2.00678587792682,2.99293811332114,4.00013373623383,4.28396115477095,0.670195909483674,4.01502979469302,2.00418631806798,2.995378785515,4.0001835647061,-2.39320345037066,4.51120745639362,0.46037106816814,1000,0.75
"3738",3738,0,2.00027473974753,2.99916596357719,4.00014469554568,2.00027473974753,2.99916596357719,4.00014469554568,2.13293349954974,2.81704812916269,4.01398764051856,1.99933231835525,3.0001163369787,4.00014291303278,-2.09083367308888,4.0938678255806,0.56299182566229,1000,0.75
"3739",3739,0,1.98971710879461,3.01025257664358,4.00002867013599,1.98971048145067,3.01024620253436,4.00000867774799,2.61642893083049,2.31811868921379,4.01772903721476,1.99953771109323,3.00053523987479,3.99998448796062,-1.94920031579893,4.47307045140261,0.772462565731166,1000,0.75
"3740",3740,0,2.00172781135437,2.99756439765674,4.00025129584922,2.00143814698592,2.99789171141164,4.00023686409923,2.65676459657027,2.20744162237882,4.0488175384614,2.0015711805596,2.9977202561137,4.0002516984549,-2.62220464983782,4.79534710418272,0.302960238760959,1000,0.75
"3741",3741,0,1.99939515201184,3.00039500046299,4.00005645159993,1.99943153255613,3.00043138306887,4.00004798879396,2.44655641637114,2.51162090570496,4.01079736702384,1.99974067555009,3.00056684027965,3.99991331291416,-2.33860199096424,4.62563506457678,0.227571329657738,1000,0.75
"3742",3742,0,2.00176349805244,2.99792670715993,4.00012058760425,2.00186649283196,2.99713093148249,4.00036973569004,3.04871982418855,1.73661485213844,4.07764636318667,2.00181721012462,2.99757591555199,4.0002282512103,-2.37194276336637,4.26502941922455,0.36917942471323,1000,0.75
"3743",3743,0,2.00018747054319,2.999958594714,3.99995561082107,2.00018888686492,2.99995996497105,3.99995862185331,2.17349039385292,2.56267025878906,4.06934253032417,1.99982263488217,3.00019250858751,3.99999391583425,-2.73684354154463,4.82248761165431,0.680914235492928,1000,0.75
"3744",3744,0,1.99228612695359,3.00795546656573,3.99993377960973,1.99018859488963,3.00980698935282,3.99990216855384,2.6831963388872,2.26741893591046,4.01748678351756,1.99136147525168,3.00854821755772,4.00002609111695,-1.95168117748599,4.24641851232464,0.660890737823795,1000,0.75
"3745",3745,0,1.99939199789489,3.00050791621256,4.00003802203613,1.99939044240604,3.00050635493515,4.00003193513737,2.17527812538953,2.78042245324801,4.01290858180041,1.99912844693988,3.00086016101575,4.00000739476568,-2.10528034688276,4.39120181637703,0.675128165875927,1000,0.75
"3746",3746,0,2.00273698628519,2.99685364068939,4.00013929890162,2.00014755700927,2.9996605896961,4.00006154373217,3.76221190738487,1.16116008146159,4.02573834047223,2.00150653054201,2.99815517334577,4.00011312482704,-2.06780713396142,4.1292114447895,0.607391723704862,1000,0.75
"3747",3747,0,1.99978986834977,3.00001392698576,4.00007285500165,1.99977538205244,2.99999911840648,4.00017362396857,2.31089004679386,2.62731668488188,4.01871869207365,1.99868792715182,3.00137914449273,3.99999816742434,-2.42412260655448,4.39927603505397,0.434478667258083,1000,0.75
"3748",3748,0,2.0038737179256,2.99670610857703,3.99968264348318,2.00100676689808,2.99993950336131,3.99959618456424,2.00038017595543,2.9124653410997,4.03133137359841,2.0025495929135,2.9981370225104,3.99966613530039,-2.16117204219033,4.48329298009257,0.345294130563266,1000,0.75
"3749",3749,0,1.99567698886354,3.00373508053161,4.00017640914094,1.99567698886354,3.00373508053161,4.00017640914094,3.58311098591709,1.30579900134087,4.03203226262826,1.99521223012575,3.00462142069395,4.00003695373606,-2.30858550034783,4.62271391942853,0.176172522005042,1000,0.75
"3750",3750,0,2.00127097326573,2.9991836297819,3.99985016819216,2.0220152343423,2.97852029345783,3.99977066760564,2.5603005831817,2.43431203163553,3.98100422823244,2.00149114880034,2.99900260359554,3.99981819467123,-2.11880995068837,4.28113143037232,0.486540028053593,1000,0.75
"3751",3751,0,1.99801270301916,3.00144096293067,4.00030537868478,1.99962133190897,3.00105710926988,3.99969666371905,2.77527304294509,1.97610626007037,4.08667366934297,1.99846341529113,3.00123331649016,4.00018678355125,-2.29757454516545,4.40711961116346,0.491060098761331,1000,0.75
"3752",3752,0,2.0023607357648,2.99760125295847,4.0000028111016,2.00318833580223,2.9970556430962,3.99986034771414,2.88001385327793,2.08525316094884,3.98674019549387,2.00271761146751,2.99733987933246,3.9999524888748,-2.27558147002621,4.74220671123202,0.618499345284815,1000,0.75
"3753",3753,0,2.00164312111308,2.99844893502359,3.99990736763801,1.99834423734879,3.00168551238155,3.99984399327537,3.62687156994721,1.30166488445974,4.02553844060338,2.00000566402088,2.99991630373429,3.99994746764099,-2.22327765943885,4.43535609276452,0.401439168416021,1000,0.75
"3754",3754,0,1.99977450626361,3.00005658787828,4.00007952233168,2.01267848951402,2.98643371543331,4.00031354143484,5.41738592450232,1.84890587367562,2.9473837223797,1.99949779724558,3.00006323285322,4.00016546414734,-1.99937583811856,3.91833157562863,0.522863108224488,1000,0.75
"3755",3755,0,1.98909774248407,3.01063613538838,4.00009241066096,1.98909516169321,3.01063372225411,4.00006867049298,2.58600346052847,2.37142976303919,4.01262742672953,1.99630025873219,3.00386329595844,3.99995326146781,-2.19858045657874,4.4291579940204,0.442277324311121,1000,0.75
"3756",3756,0,2.00955790120556,2.99061746969399,3.99994898601211,2.00955530782303,2.99061432635274,3.99994315604296,3.12597405859685,1.7747635776431,4.02855257639131,2.00696964423094,2.99350952461313,3.99985580135785,-2.3126973269686,4.57590667772976,0.456073070727453,1000,0.75
"3757",3757,0,1.99981218917002,3.00072243822995,3.99966046948612,1.99967265811068,3.00152022809241,3.99944688647929,2.91912700238579,2.57084662397647,3.70985764884517,2.00001563389812,3.00077492061623,3.99957856020426,-1.96033134558031,4.08218899378633,0.255818703790204,1000,0.75
"3758",3758,0,2.00589297817257,2.99409222692353,4.0000327684554,2.00688302789813,2.99343213366145,3.99991164254155,2.48742057822099,2.42488263436761,4.02797890822528,2.00632019754603,2.99369402844536,4.00002160444797,-1.96007630012974,4.09895358508665,0.377235753434059,1000,0.75
"3759",3759,0,2.00315038853019,2.99654231150937,4.00010183378898,2.00319801527172,2.99710170038827,3.99987515050129,2.52349307172433,2.44904623783132,4.00912115899862,2.00321044733158,2.99658965330657,4.00006560347229,-1.65774632828065,3.70617723113793,0.587399045390444,1000,0.75
"3760",3760,0,1.99862360146014,3.00203512049887,3.99979610375039,1.998596854004,3.0020087720404,3.99980293091154,2.85037514159259,1.85387492186447,4.08647517846248,1.99930682392667,3.00110963699683,3.99988101013536,-2.17665731347145,4.43459573242842,0.490841564147518,1000,0.75
"3761",3761,0,1.99191911568821,3.00827935855903,3.99993798836794,1.99191924858044,3.00827950287439,3.99993925954357,2.89910447057368,1.97140836426439,4.03797986155476,1.9933725158487,3.0065787083163,4.00001310151792,-2.46171616759235,4.54587056144397,0.595278207703127,1000,0.75
"3762",3762,0,2.00378700843536,2.99685031089546,3.99980558762023,2.00210620158663,2.99792385471911,3.9999572934627,3.15001792256301,1.80522050160071,4.0151294774734,2.00297604532867,2.99743885154913,3.99986419455855,-2.1682059473506,4.44253450718665,0.802682556604192,1000,0.75
"3763",3763,0,1.99306812951433,3.00857952009303,3.99929664402768,1.99486165346721,3.00648622461624,3.99950832680273,3.18546127499038,1.74550239938791,4.02477835836965,1.99393988214244,3.00769769082639,3.99932484072539,-2.48196383652132,4.68887086683437,0.412088943054239,1000,0.75
"3764",3764,0,2.00255593826036,2.99713140151942,4.00008470448846,2.00255584922424,2.99713134992503,4.00008569644724,3.58611006684169,1.32032422950916,4.02665203655268,2.00791913732384,2.99188804286171,4.00004990499241,-1.78656461724189,3.77886134742784,0.74336476257654,1000,0.75
"3765",3765,0,2.00109868443508,2.99903649975781,3.9999737417925,2.00750564813485,2.99347379281014,3.99967687005889,2.85816288377378,2.01368871028435,4.04450125521399,2.0038450381741,2.99661471335557,3.99985962528607,-2.029015669316,4.20782904827861,0.469168117947655,1000,0.75
"3766",3766,0,2.00105862558159,2.99850583261827,4.00012547773503,2.00258452123645,2.99769757691089,3.99982171806162,3.60425747426397,1.33021078949223,4.02210814061461,2.00129359912418,2.99836255535501,4.0000919543062,-1.9776118920991,4.20485853839192,0.387500358785557,1000,0.75
"3767",3767,0,2.00887661567597,2.99098558355532,4.00005278435676,2.00907928407448,2.99118618172,3.99993667501735,3.5697279052209,1.38337532965898,4.01361489170196,2.0076669286801,2.99221879411599,4.00004662381939,-2.26607676067968,4.58589400457065,0.296534770253276,1000,0.75
"3768",3768,0,1.99777679304869,3.00317376802062,3.99974143698595,1.99761010996193,3.00300705668366,3.999729366051,3.9498169943066,0.993124926131976,4.01638398054496,1.9967920101129,3.00323018685282,4.00000588448334,-2.29294220700158,4.60018233383193,0.519416607759853,1000,0.75
"3769",3769,0,1.99110478530946,3.00931976862248,3.9998866204488,1.9911045055631,3.00931948573513,3.9998841409682,2.3567282055439,2.631841292504,4.00312165605803,1.9894450718861,3.01107626081669,3.99985869257074,-2.15991628173961,4.43157043244466,0.73300019928705,1000,0.75
